instance,algorithm,random_seed,epsilon,horizon,regret
instance-1,round-robin,3,0,3200,647
instance-1,round-robin,4,0,3200,647
instance-1,round-robin,5,0,3200,612
instance-1,round-robin,6,0,3200,647
instance-1,round-robin,7,0,3200,611
instance-1,round-robin,8,0,3200,649
instance-1,round-robin,9,0,3200,645
instance-1,round-robin,10,0,3200,652
instance-1,round-robin,11,0,3200,597
instance-1,round-robin,12,0,3200,630
instance-1,round-robin,13,0,3200,653
instance-1,round-robin,14,0,3200,653
instance-1,round-robin,15,0,3200,635
instance-1,round-robin,16,0,3200,630
instance-1,round-robin,17,0,3200,627
instance-1,round-robin,18,0,3200,629
instance-1,round-robin,19,0,3200,625
instance-1,round-robin,20,0,3200,632
instance-1,round-robin,21,0,3200,634
instance-1,round-robin,22,0,3200,659
instance-1,round-robin,23,0,3200,611
instance-1,round-robin,24,0,3200,681
instance-1,round-robin,25,0,3200,643
instance-1,round-robin,26,0,3200,662
instance-1,round-robin,27,0,3200,649
instance-1,round-robin,28,0,3200,653
instance-1,round-robin,29,0,3200,618
instance-1,round-robin,30,0,3200,614
instance-1,round-robin,31,0,3200,662
instance-1,round-robin,32,0,3200,672
instance-1,round-robin,33,0,3200,656
instance-1,round-robin,34,0,3200,681
instance-1,round-robin,35,0,3200,622
instance-1,round-robin,36,0,3200,672
instance-1,round-robin,37,0,3200,648
instance-1,round-robin,38,0,3200,658
instance-1,round-robin,39,0,3200,609
instance-1,round-robin,40,0,3200,621
instance-1,round-robin,41,0,3200,679
instance-1,round-robin,42,0,3200,655
instance-1,round-robin,43,0,3200,601
instance-1,round-robin,44,0,3200,603
instance-1,round-robin,45,0,3200,634
instance-1,round-robin,46,0,3200,628
instance-1,round-robin,47,0,3200,642
instance-1,round-robin,48,0,3200,700
instance-1,round-robin,49,0,3200,614
instance-1,round-robin,0,0,12800,2568
instance-1,round-robin,1,0,12800,2562
instance-1,round-robin,2,0,12800,2542
instance-1,round-robin,3,0,12800,2603
instance-1,round-robin,4,0,12800,2546
instance-1,round-robin,5,0,12800,2561
instance-1,round-robin,6,0,12800,2658
instance-1,round-robin,7,0,12800,2527
instance-1,round-robin,8,0,12800,2506
instance-1,round-robin,9,0,12800,2513
instance-1,round-robin,10,0,12800,2535
instance-1,round-robin,11,0,12800,2483
instance-1,round-robin,12,0,12800,2556
instance-1,round-robin,13,0,12800,2604
instance-1,round-robin,14,0,12800,2598
instance-1,round-robin,15,0,12800,2556
instance-1,round-robin,16,0,12800,2571
instance-1,round-robin,17,0,12800,2550
instance-1,round-robin,18,0,12800,2507
instance-1,round-robin,19,0,12800,2570
instance-1,round-robin,20,0,12800,2554
instance-1,round-robin,21,0,12800,2521
instance-1,round-robin,22,0,12800,2626
instance-1,round-robin,23,0,12800,2553
instance-1,round-robin,24,0,12800,2495
instance-1,round-robin,25,0,12800,2584
instance-1,round-robin,26,0,12800,2547
instance-1,round-robin,27,0,12800,2610
instance-1,round-robin,28,0,12800,2594
instance-1,round-robin,29,0,12800,2560
instance-1,round-robin,30,0,12800,2382
instance-1,round-robin,31,0,12800,2593
instance-1,round-robin,32,0,12800,2554
instance-1,round-robin,33,0,12800,2589
instance-1,round-robin,34,0,12800,2679
instance-1,round-robin,35,0,12800,2536
instance-1,round-robin,36,0,12800,2515
instance-1,round-robin,37,0,12800,2619
instance-1,round-robin,38,0,12800,2482
instance-1,round-robin,39,0,12800,2524
instance-1,round-robin,40,0,12800,2494
instance-1,round-robin,41,0,12800,2624
instance-1,round-robin,42,0,12800,2584
instance-1,round-robin,43,0,12800,2564
instance-1,round-robin,44,0,12800,2572
instance-1,round-robin,45,0,12800,2547
instance-1,round-robin,46,0,12800,2556
instance-1,round-robin,47,0,12800,2618
instance-1,round-robin,48,0,12800,2676
instance-1,round-robin,49,0,12800,2601
instance-1,round-robin,0,0,51200,10141
instance-1,round-robin,1,0,51200,10251
instance-1,round-robin,2,0,51200,10190
instance-1,round-robin,3,0,51200,10357
instance-1,round-robin,4,0,51200,10201
instance-1,round-robin,5,0,51200,10265
instance-1,round-robin,6,0,51200,10292
instance-1,round-robin,7,0,51200,10197
instance-1,round-robin,8,0,51200,10192
instance-1,round-robin,9,0,51200,10238
instance-1,round-robin,10,0,51200,10124
instance-1,round-robin,11,0,51200,10050
instance-1,round-robin,12,0,51200,10221
instance-1,round-robin,13,0,51200,10383
instance-1,round-robin,14,0,51200,10094
instance-1,round-robin,15,0,51200,10126
instance-1,round-robin,16,0,51200,10284
instance-1,round-robin,17,0,51200,10181
instance-1,round-robin,18,0,51200,10105
instance-1,round-robin,19,0,51200,10237
instance-1,round-robin,20,0,51200,10315
instance-1,round-robin,21,0,51200,10093
instance-1,round-robin,22,0,51200,10286
instance-1,round-robin,23,0,51200,10302
instance-1,round-robin,24,0,51200,10130
instance-1,round-robin,25,0,51200,10297
instance-1,round-robin,26,0,51200,10202
instance-1,round-robin,27,0,51200,10417
instance-1,round-robin,28,0,51200,10090
instance-1,round-robin,29,0,51200,10198
instance-1,round-robin,30,0,51200,10111
instance-1,round-robin,31,0,51200,10288
instance-1,round-robin,32,0,51200,10212
instance-1,round-robin,33,0,51200,10350
instance-1,round-robin,34,0,51200,10324
instance-1,round-robin,35,0,51200,10062
instance-1,round-robin,36,0,51200,10211
instance-1,round-robin,37,0,51200,10314
instance-1,round-robin,38,0,51200,10120
instance-1,round-robin,39,0,51200,10202
instance-1,round-robin,40,0,51200,10053
instance-1,round-robin,41,0,51200,10222
instance-1,round-robin,42,0,51200,10220
instance-1,round-robin,43,0,51200,10345
instance-1,round-robin,44,0,51200,10466
instance-1,round-robin,45,0,51200,10264
instance-1,round-robin,46,0,51200,10110
instance-1,round-robin,47,0,51200,10427
instance-1,round-robin,48,0,51200,10341
instance-1,round-robin,49,0,51200,10143
instance-1,round-robin,0,0,204800,40766
instance-1,round-robin,1,0,204800,41023
instance-1,round-robin,2,0,204800,40721
instance-1,round-robin,3,0,204800,41166
instance-1,round-robin,4,0,204800,40952
instance-1,round-robin,5,0,204800,40772
instance-1,round-robin,6,0,204800,41090
instance-1,round-robin,7,0,204800,40959
instance-1,round-robin,8,0,204800,40755
instance-1,round-robin,9,0,204800,40821
instance-1,round-robin,10,0,204800,40828
instance-1,round-robin,11,0,204800,40539
instance-1,round-robin,12,0,204800,40854
